id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt0438882,Jenifa,Jenifa,2004,88,"Drama,Fantasy,Romance",5.8,34,actress,Jenifa,Odessa Rae,\N,\N,"actress,producer","tt0424136,tt0892094,tt1333125,tt0279600"
tt0439182,Four Eyed Monsters,Four Eyed Monsters,2005,85,"Comedy,Drama,Fantasy",6.2,1224,actress,Laundromat Fantasy Girl,Julia Ann Ames,\N,\N,"actress,art_department",tt0439182
tt0439659,Kraftverk 3714,Kraftverk 3714,2005,136,"Drama,Fantasy,Horror",3.2,147,actress,Elisabeth,Sandy Mansson,1941,\N,"actress,writer,miscellaneous","tt0087440,tt0466445,tt0068451,tt0439659"
tt0440581,Leyendas de amor y muerte,Leyendas de amor y muerte,1995,85,"Fantasy,Horror,Mystery",5.2,11,actress,\N,Thea Ricardi,\N,\N,actress,tt0440581
tt0441022,The Dead One,The Dead One,2007,90,"Drama,Fantasy,Horror",3.5,685,actress,Maria,Angie Cepeda,1974,\N,"actress,music_department","tt4442130,tt1720114,tt0484740,tt2308260"
tt0441516,Takbo... Talon... Tili!!!,Takbo... Talon... Tili!!!,1992,\N,"Comedy,Fantasy,Horror",6.4,22,actor,(segment \Mahiwagang Banga\),Rey 'PJ' Abellana,\N,\N,"actor,soundtrack","tt0345773,tt0273080,tt0347750,tt0346179"
tt0441674,Princess Raccoon,Operetta tanuki goten,2005,111,"Comedy,Fantasy,Musical",6.5,785,actor,Azuchi Momoyama,Mikijirô Hira,1933,2016,actor,"tt0200768,tt0061065,tt1436045,tt0058652"
tt0441751,Dear Mr. Cash,Dear Mr. Cash,2005,90,"Family,Fantasy",6.7,27,actor,Thomas,Robert Archer Lynn,\N,\N,"writer,actor,producer","tt0460909,tt0950682,tt0954355,tt0892389"
tt0441796,Stay Alive,Stay Alive,2006,85,"Fantasy,Horror,Mystery",5.0,32765,actor,Swink,Frankie Muniz,1985,\N,"actor,soundtrack,producer","tt0441796,tt0156812,tt0265298,tt0313911"
tt0442268,Be with You,"Ima, ai ni yukimasu",2004,119,"Drama,Fantasy,Romance",7.8,4844,actor,Yuji,Akashi Takei,\N,\N,actor,"tt1424045,tt0442268,tt0997305,tt1473235"
tt0442533,Tukso layuan mo ako!,Tukso layuan mo ako!,1991,104,"Comedy,Fantasy",7.6,11,actor,Daniel,Romnick Sarmenta,1972,\N,"actor,miscellaneous,producer","tt0436207,tt0380757,tt0435856,tt0189002"
tt0442601,Hanste Khelte,Hanste Khelte,1994,\N,"Comedy,Fantasy,Romance",6.7,39,actor,Devil,Ishrat Ali,\N,\N,"actor,camera_department","tt0497915,tt0284137,tt0322027,tt0109116"
tt0442940,The Face You Deserve,A Cara que Mereces,2004,108,"Comedy,Fantasy",5.9,409,actress,Marta,Gracinda Nave,\N,\N,"actress,miscellaneous","tt0472631,tt1302514,tt2820352,tt4692234"
tt0442976,Embrujo de rock,Embrujo de rock,1995,99,"Comedy,Family,Fantasy",5.1,9,actress,\N,Romina Castro,\N,\N,actress,"tt0428623,tt0211827,tt0442976,tt0220885"
tt0443012,O Gato de Botas Extraterrestre,O Gato de Botas Extraterrestre,1990,85,"Family,Fantasy",6.8,30,actor,Gato de Botas,Heitor Gaiotti,\N,\N,"miscellaneous,actor,sound_department","tt0191200,tt0443012,tt0209799,tt0442201"
